n,has_partitions,p,q,j,k
3499,True,2,3491,3,1
3499,True,2,1451,11,1
3517,True,2,3389,7,1
3511,True,2,2999,9,1
3527,True,2,3271,8,1
3527,True,2,3463,6,1
3527,True,2,3511,4,1
3527,True,2,2503,10,1
3529,True,2,1481,11,1
3529,True,2,3527,1,1
3533,True,2,3529,2,1
3533,True,2,3517,4,1
3533,True,2,3469,6,1
3539,False,,,,
3541,True,2,1493,11,1
3541,True,2,3533,3,1
3541,True,2,3539,1,1
3541,True,2,3413,7,1
3547,True,2,3539,3,1
3547,True,2,1499,11,1
3557,True,2,3301,8,1
3557,True,2,3541,4,1
3559,True,2,3527,5,1
3559,True,2,3557,1,1
3559,True,2,1511,11,1
3571,True,2,3539,5,1
3571,True,2,1523,11,1
3583,True,2,3581,1,1
3581,True,2,3517,6,1
3581,True,2,2557,10,1
3593,True,2,3529,6,1
3607,True,2,1559,11,1
3631,True,2,3119,9,1
3631,True,2,3623,3,1
3631,True,2,1583,11,1
3613,True,2,3581,5,1
3623,True,2,3607,4,1
3623,True,2,3559,6,1
3617,True,2,3361,8,1
3617,True,2,3613,2,1
3617,True,2,2593,10,1
3637,True,2,5,9,5
3659,True,2,3643,4,1
3643,False,,,,
3673,True,2,3671,1,1
3671,True,2,3607,6,1
3671,True,2,2647,10,1
3677,True,2,3613,6,1
3677,True,2,3673,2,1
3697,False,,,,
3691,True,2,3659,5,1
3701,True,2,2677,10,1
3701,True,2,3697,2,1
3701,True,2,3637,6,1
